Job Title,Company,Location,Postal Code,Street,Region,Country,Latitude,Longitude,Job Reference Number,Modification Timestamp,Job URL
Data Scientist,NEW AG,Mönchengladbach,41236,N/A,Nordrhein-Westfalen,Deutschland,51.1648728,6.4461995,12117-27586676-YF-S,2025-03-17 18:30:54.180,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Academic Work Germany GmbH,N/A,N/A,N/A,Niedersachsen,Deutschland,0.0,0.0,12953-AW_536275LS-S,2025-03-17 18:17:27.704,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,bank99 AG,Wien,1020,N/A,Wien,Österreich,0.0,0.0,11949-16712694-S,2025-03-17 17:41:51.056,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,HOFER KG,Sattledt,4642,N/A,Oberösterreich,Österreich,0.0,0.0,11949-16727083-S,2025-03-17 17:16:18.683,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,BMW AG,München,80809,N/A,Bayern,Deutschland,48.1794095,11.5532292,12462-1395526-1-S,2025-03-17 17:09:41.220,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,avivar experts GmbH,Holzwickede,59439,N/A,Nordrhein-Westfalen,Deutschland,51.49231002700009,7.625702519000072,10001-1001235983-S,2025-03-17 16:11:03.206,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Deutsche Lufthansa AG,Frankfurt am Main,60549,N/A,Hessen,Deutschland,50.04337988257674,8.566029983426684,13348-1395732-1-S,2025-03-17 13:32:11.773,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Deutsche Lufthansa AG,Tirana,N/A,N/A,N/A,Albanien,0.0,0.0,13348-1395735-1-S,2025-03-17 13:32:11.416,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,L&W CONSOLIDATION GmbH,Holzwickede,59439,N/A,Nordrhein-Westfalen,Deutschland,51.49231,7.6257026,10001-1000213699-S,2025-03-17 12:32:52.683,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,HARTING Electric Stiftung & Co. KG,Espelkamp,32339,N/A,Nordrhein-Westfalen,Deutschland,52.3714202,8.627668,12908-054505746-S,2025-03-17 12:23:23.671,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Hays AG,Erfurt,N/A,N/A,Thüringen,Deutschland,50.98206298925974,11.019140832292809,13319-809961/1_538143LS-S,2025-03-17 10:42:26.427,https://jobboerse.arbeitsagentur.de/vamJB/
