Job Title,Company,Location,Postal Code,Street,Region,Country,Latitude,Longitude,Job Reference Number,Modification Timestamp,Job URL
Data Scientist,BMW AG,München,80809,N/A,Bayern,Deutschland,48.1794095,11.5532292,12462-1397291-1-S,2025-03-20 15:45:42.955,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Brunel GmbH NL Hannover,Hannover,30159,N/A,Niedersachsen,Deutschland,52.3709243532256,9.761277671013694,12362-CR-058477_541492LS-S,2025-03-20 15:41:45.403,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,DAMPSOFT GmbH,Damp,24351,N/A,Schleswig-Holstein,Deutschland,54.5782109,9.9848586,13635-6f89c7aa_JB4698823-S,2025-03-20 14:58:43.962,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,CBC Cologne Business Center GmbH,Köln,50679,N/A,Nordrhein-Westfalen,Deutschland,50.9363044,6.9806432,13884-298422-S,2025-03-20 13:22:46.829,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Allgeier IT GmbH,Hamburg,20539,N/A,Hamburg,Deutschland,53.5298816,10.0402455,11119-4126142833-S,2025-03-20 13:05:14.405,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,LANXESS,Köln,50679,N/A,Nordrhein-Westfalen,Deutschland,50.9363044,6.9806432,12288-4133269286-S,2025-03-20 07:23:26.644,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,DAK-Gesundheit,Hamburg,20097,N/A,Hamburg,Deutschland,53.5475044,10.019653,16106-43203533-226-S,2025-03-20 07:20:21.865,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Amadeus Fire AG,Köln,50968,N/A,Nordrhein-Westfalen,Deutschland,50.9029988,6.9644677,12288-4133316606-S,2025-03-20 07:20:04.029,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,DAK-Gesundheit,Hamburg,20097,N/A,Hamburg,Deutschland,53.5475044,10.019653,16106-43203543-226-S,2025-03-20 07:19:51.712,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Amadeus Fire AG,Hannover,30459,N/A,Niedersachsen,Deutschland,52.3429905,9.7174924,12288-4132853373-S,2025-03-20 07:14:23.697,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Personalwerk GmbH,Karben,61184,N/A,Hessen,Deutschland,50.2337604,8.7708912,12908-054537598-S,2025-03-19 18:15:54.265,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,HOFER KG,Sattledt,4642,N/A,Oberösterreich,Österreich,0.0,0.0,11949-16727083-S,2025-03-19 18:06:15.041,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,MANOVA GmbH,Wien,1010,N/A,Wien,Österreich,0.0,0.0,11949-16733024-S,2025-03-19 17:14:14.664,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,LANXESS Deutschland GmbH,Köln,50679,N/A,Nordrhein-Westfalen,Deutschland,50.93630444638388,6.980643205409505,18606-43252697-319-S,2025-03-19 12:23:10.384,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Brunel GmbH NL Osnabrück,Osnabrück,49074,N/A,Niedersachsen,Deutschland,52.2752674468021,8.052885520508909,12362-TR-243026_538228LS-S,2025-03-19 11:55:41.250,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,ARAG SE,Düsseldorf,40472,N/A,Nordrhein-Westfalen,Deutschland,51.2711419,6.8182111,14244-BB-439237-7878-2620-S,2025-03-19 11:04:58.755,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Fraunhofer-Gesellschaft e.V. Zentrale München,"Münster, Westfalen",48165,N/A,Nordrhein-Westfalen,Deutschland,51.901524891050215,7.6570166214191495,15861-43251800-319-S,2025-03-19 09:00:20.341,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Motel One Head Office,München,81539,N/A,Bayern,Deutschland,48.1110255,11.5892652,12518-NV3U7L-E67-S,2025-03-19 08:51:14.427,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Zalando SE,Berlin,10243,Valeska-Gert-Straße 5,Berlin,Deutschland,52.506471680735814,13.441247019810598,18251-19646-S,2025-03-19 08:24:56.283,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,statworx,Frankfurt am Main,60314,N/A,Hessen,Deutschland,50.1153389,8.7204196,13635-c7f29fb2_JB4662113-S,2025-03-19 07:58:09.989,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,NTT DATA Business Solutions Global Managed Services GmbH,Bielefeld,33605,N/A,Nordrhein-Westfalen,Deutschland,51.9981098,8.5761836,11956-1779871742338801-S,2025-03-19 07:09:40.631,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,NTT DATA Business Solutions Global Managed Services GmbH,Berlin,10625,N/A,Berlin,Deutschland,52.5094601,13.3146392,11956-2653511742338801-S,2025-03-19 07:09:39.725,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Silhouette International Schmied AG,"Linz, Donau",4020,N/A,Oberösterreich,Österreich,0.0,0.0,11949-16721128-S,2025-03-18 17:52:11.259,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,BMW AG,München,80809,N/A,Bayern,Deutschland,48.1794095,11.5532292,12462-1338839-1-S,2025-03-18 15:47:01.852,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,COVANCE PRECLINICAL SERVICES GMBH,"Münster, Westfalen",48163,Kesselfeld 29,Nordrhein-Westfalen,Deutschland,51.9171928,7.5907236,10001-1001256038-S,2025-03-18 11:30:38.500,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Alfred Kärcher SE & Co. KG,"Winnenden, Württemberg",71364,N/A,Baden-Württemberg,Deutschland,48.87125805916162,9.410055583205853,14953-43249094-318-S,2025-03-18 10:22:54.744,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,FERCHAU GmbH Niederlassung Ulm,"Ulm, Donau",89081,N/A,Baden-Württemberg,Deutschland,48.416565185134345,9.949145242906274,12265-260048_JB4695319-S,2025-03-18 08:05:02.131,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Zweckverband Landeswasserversorgung,Stuttgart,70372,N/A,Baden-Württemberg,Deutschland,48.799065,9.226157,12288-4127637998-S,2025-03-18 07:36:54.942,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Amadeus Fire AG,Düsseldorf,40474,N/A,Nordrhein-Westfalen,Deutschland,51.2682997,6.7513153,12288-4127683505-S,2025-03-18 07:33:34.991,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,S-Kreditpartner,Berlin,10715,N/A,Berlin,Deutschland,52.4825695,13.3285892,11956-2786231741820400-S,2025-03-18 07:13:24.081,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Barkhausen Institut gGmbH,Dresden,01067,N/A,Sachsen,Deutschland,51.0581628,13.7203962,11956-2511911742252401-S,2025-03-18 07:12:51.608,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Grenzebach,Asbach-Bäumenheim,86663,N/A,Bayern,Deutschland,48.6846186,10.8182802,16818-100654846-S,2025-03-18 07:04:56.173,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,NEW AG,Mönchengladbach,41236,N/A,Nordrhein-Westfalen,Deutschland,51.1648728,6.4461995,12117-27586676-YF-S,2025-03-17 18:30:54.180,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Academic Work Germany GmbH,N/A,N/A,N/A,Niedersachsen,Deutschland,0.0,0.0,12953-AW_536275LS-S,2025-03-17 18:17:27.704,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,BMW AG,München,80809,N/A,Bayern,Deutschland,48.1794095,11.5532292,12462-1395526-1-S,2025-03-17 17:09:41.220,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,avivar experts GmbH,Holzwickede,59439,N/A,Nordrhein-Westfalen,Deutschland,51.49231002700009,7.625702519000072,10001-1001235983-S,2025-03-17 16:11:03.206,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Deutsche Lufthansa AG,Frankfurt am Main,60549,N/A,Hessen,Deutschland,50.04337988257674,8.566029983426684,13348-1395732-1-S,2025-03-17 13:32:11.773,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,Deutsche Lufthansa AG,Tirana,N/A,N/A,N/A,Albanien,0.0,0.0,13348-1395735-1-S,2025-03-17 13:32:11.416,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,L&W CONSOLIDATION GmbH,Holzwickede,59439,N/A,Nordrhein-Westfalen,Deutschland,51.49231,7.6257026,10001-1000213699-S,2025-03-17 12:32:52.683,https://jobboerse.arbeitsagentur.de/vamJB/
Data Scientist,HARTING Electric Stiftung & Co. KG,Espelkamp,32339,N/A,Nordrhein-Westfalen,Deutschland,52.3714202,8.627668,12908-054505746-S,2025-03-17 12:23:23.671,https://jobboerse.arbeitsagentur.de/vamJB/
